year,month,total_tcap,weighted_return
2001,1,16187121602.066643,0.06963610193647451
2001,2,14632302975.571613,-0.07203250049122818
2001,3,13628701979.26983,-0.0557515380573534
2001,4,14820713170.556541,0.1003255580779861
2001,5,14985260628.7879,0.016608867397343983
2001,6,14762860956.632727,-0.00825776589545866
2001,7,14527796036.356464,-0.007692476218480911
2001,8,13741771567.203812,-0.05007543422722044
2001,9,12495237433.367456,-0.07355318870212807
2001,10,12925512568.43987,0.04450871543049717
2001,11,13929274619.636364,0.08873413478830762
2001,12,14223264424.197617,0.024781255519158604
2002,1,13986680016.64494,-0.006104182489537821
2002,2,13674830711.707083,-0.010848975893901155
2002,3,14314234186.972338,0.052466267897218574
2002,4,13619272007.96792,-0.037695946882168145
2002,5,13561144930.743692,-0.0037430522928461837
2002,6,12654202347.599829,-0.05752601257521697
2002,7,11627559774.328596,-0.06966373997249324
2002,8,11686328805.54071,0.01480272858743282
2002,9,10497409363.222836,-0.09022776126392515
2002,10,11279189066.672174,0.09122822653621433
2002,11,11944779089.962103,0.07463899338942845
2002,12,11303618215.270988,-0.045173330431994244
2003,1,11023363728.35837,-0.017693726128340186
2003,2,10823055539.38937,-0.011098946015645709
2003,3,10925963595.712082,0.01508245842387623
2003,4,11815813859.026524,0.0895130880206498
2003,5,12546929422.709787,0.07247238946687358
2003,6,12747993143.992954,0.020795947417341743
2003,7,13026271105.60734,0.030061320426209053
2003,8,13366995663.48276,0.030222373897578717
2003,9,13297011899.190557,-0.004018406560733494
2003,10,14095570038.663372,0.0673838269977767
2003,11,14338105098.440193,0.020671322434180232
2003,12,14990232381.33581,0.051080177189956354
2004,1,15335824351.8362,0.02949797208593568
2004,2,15589606313.124884,0.020031879618884193
2004,3,15513973992.252106,-0.006475602236955155
2004,4,15122319720.2051,-0.01854166566101051
2004,5,15335209639.096165,0.018329088378740657
2004,6,15612560283.665117,0.02508645631560112
2004,7,15021783725.34938,-0.03169305759549218
2004,8,15049482091.33809,0.006419715440709041
2004,9,15346093002.845785,0.026070431594263054
2004,10,15596077358.628574,0.023279037913551917
2004,11,16372021070.810753,0.05324029792067997
2004,12,16947296331.970285,0.03811005525875607
2005,1,16500122066.057312,-0.021726164712440047
2005,2,16873926449.609741,0.029585255189916566
2005,3,16571122941.951307,-0.013938436980551323
2005,4,16140268882.801037,-0.019586857305611813
2005,5,16714259052.151733,0.041701339748797535
2005,6,16895359425.300646,0.015794830597177567
2005,7,17643326585.866577,0.04757573633799971
2005,8,17506740033.312378,-0.00022623759158111275
2005,9,17702328534.96914,0.016444092379805295
2005,10,17314454611.10529,-0.016120538701207564
2005,11,17952273024.432884,0.04377963301949155
2005,12,17990127504.861996,0.0072775073049067
2006,1,18672430998.841934,0.04925719903496362
2006,2,18640683664.5432,0.0016455853329147001
2006,3,18990444004.490604,0.02351371552121718
2006,4,19169677011.06996,0.019112524790236778
2006,5,18529215727.82285,-0.027901056425155085
2006,6,18500492982.647522,0.002672511984251604
2006,7,18449229826.263992,0.004746072696779153
2006,8,18788313697.856796,0.0290813190866081
2006,9,19105511684.914715,0.022236759949353195
2006,10,19726463688.066357,0.04097284874992158
2006,11,20195777087.418076,0.02793090482675881
2006,12,20387848714.731358,0.014413931796678709
2007,1,20724464009.097126,0.022461925468660267
2007,2,20371278121.46752,-0.0109166895274558
2007,3,20651135649.054153,0.01690543901302666
2007,4,21414962531.17705,0.04321099292927706
2007,5,22172222244.789368,0.043441921660942365
2007,6,21826304978.088524,-0.010035573372166123
2007,7,21060328770.03942,-0.02581472328960907
2007,8,21240802073.407722,0.015412568953139581
2007,9,22045275530.75631,0.047450214673043827
2007,10,22524480136.441563,0.03674962581944509
2007,11,21213389042.924862,-0.04235057826603577
2007,12,21149154382.310257,0.002383201178056097
2008,1,19768473975.11375,-0.05344995294576193
2008,2,19244235033.21817,-0.010892103165120787
2008,3,19018077974.665985,-0.004404224509891328
2008,4,19963933714.277126,0.060909406381349666
2008,5,20369196183.70274,0.03149059913690307
2008,6,18770457203.071777,-0.06690109885504553
2008,7,18453261871.790993,-0.00057217009204581
2008,8,18579127401.13325,0.01468730330063693
2008,9,16761330255.284353,-0.07872625841591024
2008,10,13599800650.24523,-0.16275062712452157
2008,11,12387953826.116365,-0.0659297991783872
2008,12,12676526068.866121,0.0360460854526653
2009,1,11628555268.534782,-0.060086808787058396
2009,2,10393181588.303772,-0.08542209984621593
2009,3,11165344630.967136,0.09755946005948646
2009,4,12382961221.717442,0.1344429098405523
2009,5,13302173293.737331,0.08501108980364092
2009,6,13283029794.16435,0.003698687485360857
2009,7,14388463356.13552,0.08988356472853155
2009,8,14877613126.011621,0.03955440896484165
2009,9,15707459405.232912,0.05107871538486426
2009,10,15262485759.19475,-0.021802620626946725
2009,11,16118787877.952202,0.062260094532708116
2009,12,16598468355.133022,0.032642243310714955
2010,1,15959507202.30169,-0.032711747928614046
2010,2,16473120668.950653,0.03761252844397582
2010,3,17541144111.763397,0.06764137223052634
2010,4,17873829216.26304,0.023855852152914192
2010,5,16422687705.710867,-0.07570867369500173
2010,6,15536835577.833511,-0.044804207221671284
2010,7,16618816297.210957,0.07656967959616873
2010,8,15869009816.885954,-0.036189142815295006
2010,9,17318853128.6799,0.09705497489123878
2010,10,18004973767.26691,0.04281591850785892
2010,11,18140402795.274323,0.007797268412056857
2010,12,19337896267.14241,0.0714533688814304
2011,1,19780728883.007065,0.022643129771602946
2011,2,20481748736.319603,0.041247525661315995
2011,3,20548168762.943382,0.007095760834465668
2011,4,21118773986.891426,0.03273996237787836
2011,5,20737271643.43525,-0.012333364148420508
2011,6,20292454867.91853,-0.016209903453186306
2011,7,19836663574.147343,-0.01700635921161113
2011,8,18688938980.716785,-0.050957405345907564
2011,9,16985443617.862087,-0.07829644748668803
2011,10,18896295190.654396,0.12223140413437761
2011,11,18677626400.057255,-0.002188340545615558
2011,12,18693934468.919144,0.007438966061743416
2012,1,19709159309.370125,0.061098546907636365
2012,2,20466147443.055973,0.045312471729222065
2012,3,20972214482.715534,0.02697864984373484
2012,4,20804402352.842545,-0.0038229215649850565
2012,5,19344797792.90044,-0.06140769158332811
2012,6,20088955258.490314,0.0430218292187807
2012,7,20248417951.459732,0.01380679242674851
2012,8,20695004733.505096,0.029624327333353094
2012,9,21319294253.93112,0.028928259553473966
2012,10,20990011647.296387,-0.010165669260804679
2012,11,21057906441.571472,0.009905872220310575
2012,12,21281331366.814453,0.016320415256360202
2013,1,22463912523.15995,0.05761549879782535
2013,2,22537888910.97162,0.010070462522547816
2013,3,23345892793.39413,0.037653203252767845
2013,4,23684631660.80059,0.01887415420857525
2013,5,24081097192.8033,0.02238794254048434
2013,6,23632592312.16224,-0.01271338794987423
2013,7,24855557708.540386,0.05692591609965227
2013,8,24196080985.848637,-0.02202563985470679
2013,9,25139801862.14682,0.04218580414294614
2013,10,26140450240.888683,0.04355753851406763
2013,11,26749496899.767643,0.027759824464193058
2013,12,27430491498.109592,0.02917645900479393
2014,1,26556906223.9032,-0.02548763361718691
2014,2,27773689968.449173,0.05002288691833802
2014,3,27927933532.76121,0.00814742647921761
2014,4,28015183909.10811,0.00566634197834591
2014,5,28521605054.789295,0.02328557585264885
2014,6,29326330917.320045,0.031691099681551836
2014,7,28725045672.370274,-0.01646379299170959
2014,8,29801250034.81508,0.04243548076365881
2014,9,29042719549.448673,-0.022392593808648907
2014,10,29640562419.61498,0.0254120117571138
2014,11,30235984232.915474,0.025049982447870458
2014,12,30099859308.06135,-0.0023431905155449563
2015,1,29201864000.38307,-0.019835377664593246
2015,2,30722188810.493652,0.05947511983688938
2015,3,30327893373.371582,-0.0075075896581677055
2015,4,30567515845.985977,0.01416962921651866
2015,5,30719421140.28335,0.013119700899421737
2015,6,30062200401.079784,-0.01632190443934135
2015,7,30169323751.015438,0.017429121723039856
2015,8,28204812602.023655,-0.057254320334615603
2015,9,27172216589.22397,-0.029343757291389792
2015,10,29130024436.33623,0.08225091289331973
2015,11,29082660992.529797,0.00726270895217159
2015,12,28322587291.110134,-0.0187763399696924
